LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
80.446,46.0,12.0,1,1,2.0,max_verstappen,0,16.5,1,51.9,34.0,3.0,80.024,80.182,5.0,2018,66.0,0,1,0,0
80.477,47.0,13.0,1,1,2.0,max_verstappen,0,16.7,1,51.6,34.3,3.0,80.381,81.139,5.0,2018,66.0,0,1,0,0
80.805,48.0,14.0,1,1,2.0,max_verstappen,0,16.8,1,49.7,31.9,3.0,81.942,80.947,5.0,2018,66.0,0,1,0,0
80.336,49.0,15.0,1,1,2.0,max_verstappen,0,16.3,1,49.5,31.3,3.0,79.828,80.151,5.0,2018,66.0,0,1,0,0
79.823,50.0,16.0,1,1,2.0,max_verstappen,0,15.8,1,50.7,31.2,3.0,80.492,80.915,5.0,2018,66.0,0,1,0,0
80.442,51.0,17.0,1,1,2.0,max_verstappen,0,15.8,1,51.2,31.4,3.0,79.924,80.079,5.0,2018,66.0,0,1,0,0
79.877,52.0,18.0,1,1,2.0,max_verstappen,0,15.8,1,52.2,31.4,3.0,79.987,79.581,5.0,2018,66.0,0,1,0,0
80.355,53.0,19.0,1,1,2.0,max_verstappen,0,15.9,1,51.6,30.7,3.0,80.092,79.833,5.0,2018,66.0,0,1,0,0
79.777,54.0,20.0,1,1,2.0,max_verstappen,0,16.2,1,51.5,31.7,3.0,79.946,80.397,5.0,2018,66.0,0,1,0,0
79.731,55.0,21.0,1,1,2.0,max_verstappen,0,15.9,1,51.1,32.5,3.0,79.837,79.564,5.0,2018,66.0,0,1,0,0
79.508,56.0,22.0,1,1,2.0,max_verstappen,0,16.1,1,51.8,33.2,3.0,79.478,79.667,5.0,2018,66.0,0,1,0,0
79.515,57.0,23.0,1,1,2.0,max_verstappen,0,16.7,1,50.4,33.2,3.0,79.094,79.674,5.0,2018,66.0,0,1,0,0
